83,7,97,62,79,68
14,11,22,30,57,38
16,37,94,66,96,95
1,13,26,83,93,4
75,99,44,62,46,18
62,29,69,72,80,88
30,63,7,20,27,26
82,13,20,2,61,75
31,49,68,72,15,59
14,25,66,81,36,97
16,44,52,31,23,81
11,26,84,61,75,47
72,5,51,91,31,63
6,72,40,28,50,15
55,9,10,57,83,93
34,90,74,70,54,50
21,34,38,36,11,24
3,46,74,27,92,85
76,18,50,99,58,27
36,45,62,80,46,52
47,26,59,51,59,44
49,9,19,97,53,34
93,53,8,33,15,36
13,51,85,75,79,51
73,48,29,8,13,7
65,10,17,84,14,66
87,81,11,17,76,8
92,83,26,92,1,73
3,62,55,41,42,35
64,11,6,41,14,36
38,97,43,89,64,80
34,37,13,53,31,53
92,17,47,60,72,61
42,94,73,36,11,93
64,35,12,13,41,98
20,58,3,2,50,21
24,99,20,77,22,20
48,26,39,39,72,7
15,68,98,86,83,90
86,98,70,5,17,71
34,56,54,67,89,53
31,36,26,8,72,26
92,60,80,3,78,62
71,46,42,51,90,43
87,66,19,95,28,66
4,56,63,29,47,49
33,9,75,18,10,51
90,95,53,44,98,38
10,30,18,55,21,55
52,12,85,14,31,62
61,57,9,83,34,90
35,6,91,14,33,3
3,99,3,68,65,92
42,21,7,81,39,94
12,37,41,64,16,40
26,34,43,34,26,47
55,65,46,16,39,56
2,71,36,21,79,52
41,10,40,30,85,49
94,8,47,42,96,99
88,30,43,24,67,20
12,8,50,25,63,18
41,45,51,54,40,97
85,96,92,65,22,57
11,31,80,99,14,74
60,87,37,36,95,57
51,34,34,74,52,9
87,27,58,86,18,63
15,61,30,63,9,49
91,75,22,39,43,55
89,37,52,67,48,59
39,14,37,90,1,41
86,84,43,55,84,40
44,61,44,27,31,5
49,56,8,6,18,70
81,2,8,10,93,94
1,34,60,84,65,43
26,79,12,19,47,23
13,17,37,74,96,31
9,15,9,51,47,85
99,32,99,3,88,99
89,55,52,47,53,34
52,7,87,22,81,33
40,87,10,31,10,56
10,22,79,89,52,25
42,48,54,88,84,20
30,42,55,58,47,13
6,12,75,62,35,19
11,5,98,88,89,36
20,5,62,24,30,48
67,29,72,72,25,79
62,47,47,57,19,54
71,3,7,95,92,37
17,50,47,12,78,17
17,94,6,16,14,19
42,91,81,33,61,74
61,26,95,86,8,25
75,48,85,25,35,3
85,42,7,9,17,84
23,73,73,21,7,77
36,8,20,24,84,33
62,35,13,45,78,88
74,14,35,79,79,32
23,16,99,96,57,73
33,48,31,62,82,56
50,35,67,1,14,21
60,75,46,37,98,68
13,59,94,87,78,10
20,72,14,12,41,56
33,69,71,80,3,18
42,94,36,30,57,38
73,42,82,83,1,1
24,82,90,6,76,59
15,39,66,66,34,8
91,13,88,34,39,5
57,2,43,16,40,42
75,99,4,56,25,94
44,33,49,51,85,16
48,75,8,18,12,92
60,79,13,71,72,42
36,66,89,82,41,7
26,52,64,90,71,56
36,50,30,74,18,83
50,62,83,89,59,45
60,93,57,38,95,85
34,78,4,65,63,30
32,63,44,15,70,11
9,64,74,91,4,50
38,73,80,98,36,34
89,40,22,72,41,52
33,12,74,76,89,66
8,16,13,37,26,27
11,8,96,79,60,79
85,88,8,23,72,55
39,61,2,6,54,92
36,12,91,18,28,98
94,8,84,88,99,12
53,14,2,15,90,23
49,17,39,99,28,37
43,36,98,40,51,15
60,11,5,24,13,29
59,81,34,27,36,57
47,67,65,75,68,47
39,58,72,35,40,42
85,78,28,77,8,95
99,17,46,81,56,44
23,37,32,16,31,85
27,86,2,63,37,97
93,42,22,56,44,74
61,17,62,96,64,50
16,4,49,8,36,93
6,80,60,18,19,62
65,93,63,2,50,60
44,98,96,79,48,44
58,44,70,81,27,80
42,27,73,33,64,39
3,87,55,57,91,31
5,13,41,27,92,48
93,89,1,13,92,27
59,25,11,52,52,86
26,24,39,90,7,91
60,4,58,39,6,65
28,21,65,5,12,46
51,3,31,31,58,36
64,8,73,71,26,5
53,8,10,54,81,5
84,21,42,35,9,40
3,86,53,55,44,38
85,66,17,60,77,58
63,99,45,16,52,82
38,26,97,33,17,59
32,72,64,69,12,65
75,58,14,78,97,87
93,66,2,21,60,26
95,79,21,51,99,96
68,56,35,70,83,40
80,66,90,16,2,78
91,21,83,11,49,53
98,82,44,77,75,92
22,50,87,75,84,61
39,84,34,21,4,93
19,38,20,38,20,66
75,28,90,6,69,49
54,27,90,53,52,29
18,32,16,85,6,19
15,41,51,52,67,60
63,92,95,4,66,28
13,57,55,63,88,11
47,19,71,42,98,7
44,15,68,37,79,76
56,22,50,53,50,57
76,80,61,41,44,21
75,20,70,55,89,63
64,66,7,99,62,91
81,51,36,19,39,66
32,44,1,60,81,68
46,99,68,87,20,12
17,68,76,23,44,26
98,2,5,5,89,35
7,81,72,95,59,67
76,41,13,69,34,9
60,38,97,8,43,89
97,49,96,87,2,73
77,5,53,56,50,21
36,64,16,20,18,87
8,98,70,25,25,63
54,72,64,1,28,61
84,98,80,76,7,34
21,74,23,66,94,45
36,48,25,5,73,53
61,36,67,92,53,35
93,49,10,22,14,4
72,4,23,46,96,29
65,85,47,44,20,50
80,78,5,90,27,28
10,90,52,56,91,82
67,21,69,47,80,58
66,42,7,7,9,33
75,49,66,5,4,7
21,48,32,61,49,96
15,15,37,89,36,26
66,18,30,12,81,62
44,59,38,67,17,93
65,3,39,1,73,37
53,60,49,37,60,36
45,20,8,80,15,85
20,69,32,56,51,21
53,1,38,69,13,25
1,94,7,27,58,36
80,2,27,26,73,12
72,38,46,48,81,16
37,79,93,96,41,48
58,96,87,27,88,3
82,84,55,64,68,91
21,16,5,45,52,24
80,80,19,30,12,60
91,97,46,64,61,53
89,67,68,89,95,63
58,61,57,15,85,85
71,26,74,76,36,70
84,12,27,21,61,15
38,34,47,87,21,38
56,62,17,24,3,95
81,87,30,92,34,49
24,31,62,71,42,42
64,62,84,83,20,54
21,33,63,73,84,50
47,71,70,4,26,57
96,63,79,39,33,16
5,10,76,79,51,30
62,52,76,2,14,89
81,81,76,91,70,80
31,49,5,47,37,15
62,20,4,70,31,31
98,9,59,83,52,47
77,47,98,28,58,44
37,86,18,15,72,89
90,94,20,36,21,14
71,41,50,44,54,66
32,65,35,95,44,93
27,63,34,91,78,62
7,95,82,89,1,80
3,36,87,65,64,89
4,42,50,65,86,20
91,23,87,50,92,22
90,12,8,44,4,15
67,94,54,45,43,81
2,62,91,75,92,39
39,3,31,41,19,50
8,33,11,85,91,24
13,13,93,71,74,66
12,89,91,4,45,48
6,57,61,84,91,16
99,46,65,82,16,61
52,11,81,15,96,41
32,11,52,47,76,99
44,41,70,60,63,76
47,78,90,55,82,34
93,19,71,38,85,31
39,72,60,77,61,11
59,38,98,99,70,74
40,65,13,58,50,46
52,76,26,31,37,33
38,10,58,98,13,18
5,99,91,56,75,86
79,68,32,45,65,68
78,50,31,98,33,15
14,29,25,24,92,10
92,83,33,79,55,26
8,55,69,47,63,92
96,66,3,34,6,72
19,6,89,53,79,4
32,22,23,38,44,6
9,25,37,54,25,4
60,29,58,34,24,36
16,69,70,22,20,33
83,31,83,76,55,33
40,78,93,21,54,97
86,93,50,89,18,73
32,37,14,85,96,54
54,45,28,97,85,33
95,34,40,26,26,86
62,67,22,42,94,57
28,56,6,1,69,65
82,41,9,66,43,40
91,90,98,61,19,42
79,57,66,31,79,37
12,34,52,33,73,11
1,71,89,43,39,46
89,69,44,29,33,17
97,88,93,64,88,77
74,22,65,36,97,59
55,97,33,76,87,90
5,81,91,64,61,55
38,37,82,81,65,58
64,52,97,28,49,40
90,17,76,70,53,15
14,1,90,18,9,41
39,97,62,8,41,50
87,47,67,28,58,4
81,8,48,95,47,9
35,94,92,61,74,16
82,57,80,55,19,24
82,17,2,30,96,97
80,19,80,93,53,85
16,61,64,99,54,29
83,10,56,64,22,60
95,89,96,71,94,60
64,87,96,76,50,41
